Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma14,ndx_ma21,ndx_ma28
2020-02-11,9517.8603515625,9517.8603515625,9517.8603515625,9517.8603515625,9517.8603515625,0,9517.8603515625,8604.195068359375,8208.56005859375,7961.64501953125,7802.666015625,7665.225016276042,7588.472865513393,7545.5887451171875,7509.063313802083,7488.252978515625,7471.30859375,7530.485235305059,7593.612880161831
2020-02-12,9613.2001953125,9613.2001953125,9613.2001953125,9613.2001953125,9613.2001953125,0,9613.2001953125,9565.5302734375,8940.530110677084,8559.720092773438,8291.9560546875,8104.421712239583,7943.507184709822,7841.563781738281,7775.323350694444,7719.477001953125,7616.52716936384,7617.7109607514885,7662.30859375
2020-02-13,9595.7001953125,9595.7001953125,9595.7001953125,9595.7001953125,9595.7001953125,0,9595.7001953125,9604.4501953125,9575.5869140625,9104.322631835938,8766.91611328125,8509.246744791666,8317.461495535714,8150.031311035156,8036.467827690973,7957.36103515625,7775.02716936384,7705.513346354167,7729.530378069197
2020-02-14,9623.580078125,9623.580078125,9623.580078125,9623.580078125,9623.580078125,0,9623.580078125,9609.64013671875,9610.826822916666,9587.585205078125,9208.17412109375,8909.693440755209,8668.437220982143,8480.726318359375,8313.758951822916,8195.179052734375,7930.210030691965,7790.1728748139885,7794.275739397322
2020-02-18,9629.7998046875,9629.7998046875,9629.7998046875,9629.7998046875,9629.7998046875,0,9629.7998046875,9626.68994140625,9616.360026041666,9615.570068359375,9596.028125,9278.445068359375,9012.56577845982,8788.607543945312,8608.401150173611,8445.363037109375,8096.057861328125,7884.918108258928,7860.182512555803
2020-02-19,9718.73046875,9718.73046875,9718.73046875,9718.73046875,9718.73046875,0,9718.73046875,9674.26513671875,9657.3701171875,9641.95263671875,9636.2021484375,9616.478515625,9341.342982700893,9100.836364746094,8891.954535590277,8719.43408203125,8268.755754743304,7984.974330357143,7928.10431780134
2020-02-20,9627.830078125,9627.830078125,9627.830078125,9627.830078125,9627.830078125,0,9627.830078125,9673.2802734375,9658.786783854166,9649.985107421875,9639.128125,9634.806803385416,9618.100167410714,9377.153869628906,9159.391221788195,8965.54208984375,8440.96791294643,8090.971958705357,7992.431100027902
2020-02-21,9446.6904296875,9446.6904296875,9446.6904296875,9446.6904296875,9446.6904296875,0,9446.6904296875,9537.26025390625,9597.750325520834,9605.7626953125,9609.326171875,9607.05517578125,9607.933035714286,9596.673950195312,9384.880154079861,9188.121142578126,8598.202950613839,8183.516741071428,8049.847185407366
2020-02-24,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,9079.6298828125,0,9079.6298828125,9263.16015625,9384.716796875,9468.22021484375,9500.5361328125,9521.04345703125,9531.708705357143,9541.895141601562,9539.224609375,9354.355126953125,8737.607945033482,8254.92101469494,8096.210396902902
2020-02-25,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,8834.8701171875,0,8834.8701171875,8957.25,9120.396809895834,9247.255126953125,9341.5501953125,9389.591796875,9423.01869419643,9444.603881835938,9463.336805555555,9468.78916015625,8870.24009486607,8324.357677641368,8134.889683314732
