Date,Open,High,Low,Close,Adj Close,Volume
01/03/19,7152.080078,7159.959961,7101.069824,7151.569824,7151.569824,2463190000
04/03/19,7193.879883,7205.939941,7073.399902,7150.830078,7150.830078,2569590000
05/03/19,7156.660156,7178.299805,7120.689941,7156.790039,7156.790039,2142610000
06/03/19,7156.240234,7162.240234,7104.549805,7112.470215,7112.470215,2242810000
07/03/19,7089.629883,7097.910156,7001.810059,7026.879883,7026.879883,2440840000
08/03/19,6940.899902,7018.919922,6940.720215,7015.689941,7015.689941,2245430000
11/03/19,7050.049805,7166.930176,7049.560059,7164.02002,7164.02002,2216950000
12/03/19,7176.22998,7219.410156,7166.950195,7201.279785,7201.279785,2161400000
13/03/19,7231.049805,7292.859863,7229.879883,7256.97998,7256.97998,2366350000
14/03/19,7257.310059,7267.939941,7240.959961,7243.009766,7243.009766,2176510000
15/03/19,7274.140137,7331.299805,7265.629883,7306.990234,7306.990234,3447190000
18/03/19,7311.629883,7348.689941,7293.850098,7326.279785,7326.279785,2274490000
19/03/19,7357.580078,7390.290039,7321.930176,7349.279785,7349.279785,2433160000
20/03/19,7348.990234,7422.75,7318.419922,7380.75,7380.75,2424400000
21/03/19,7356.939941,7505.410156,7356.939941,7493.27002,7493.27002,2483580000
22/03/19,7458.439941,7482.350098,7323.52002,7326.060059,7326.060059,2490730000
25/03/19,7299.930176,7342.509766,7265.279785,7316.959961,7316.959961,2130230000
26/03/19,7378.22998,7417.259766,7314.379883,7351.149902,7351.149902,2068900000
27/03/19,7364.470215,7376.990234,7252.060059,7308.189941,7308.189941,2221650000
28/03/19,7325.060059,7346.040039,7277.689941,7320.470215,7320.470215,1902060000
29/03/19,7377.77002,7381.689941,7333.169922,7378.77002,7378.77002,2233470000
01/04/19,7450.810059,7481.839844,7422.439941,7478.419922,7478.419922,2198050000
02/04/19,7473.509766,7507.049805,7461.509766,7499.640137,7499.640137,2110100000
03/04/19,7538.169922,7589.689941,7520.399902,7544.970215,7544.970215,2487210000
04/04/19,7542.160156,7571.129883,7496.299805,7540.569824,7540.569824,2094200000
05/04/19,7564.27002,7581.899902,7554.910156,7578.839844,7578.839844,2148730000
08/04/19,7565.060059,7602.080078,7536.419922,7599.740234,7599.740234,2069190000
09/04/19,7571.879883,7596.75,7555.620117,7568.490234,7568.490234,2067570000
10/04/19,7581.390137,7613.410156,7573.279785,7611.490234,7611.490234,1998280000
11/04/19,7621.399902,7621.399902,7580.709961,7594.890137,7594.890137,1956840000
12/04/19,7624.149902,7630.52002,7596.560059,7628.149902,7628.149902,1955290000
15/04/19,7630.600098,7636.799805,7578.540039,7629.120117,7629.120117,1816920000
16/04/19,7651.189941,7670.399902,7631.640137,7654.72998,7654.72998,2095330000
17/04/19,7705.319824,7715.069824,7659.850098,7680.720215,7680.720215,2290690000
18/04/19,7688.930176,7694.180176,7647.399902,7689.720215,7689.720215,2089360000
22/04/19,7658.370117,7715.330078,7653.890137,7713.490234,7713.490234,1776060000
23/04/19,7724.169922,7819.339844,7719.089844,7810.709961,7810.709961,2075070000
24/04/19,7813.02002,7827.049805,7783.589844,7784.410156,7784.410156,2022490000
25/04/19,7850.709961,7851.970215,7778.22998,7816.919922,7816.919922,2063270000
26/04/19,7791.149902,7826.890137,7742.600098,7826.680176,7826.680176,1971270000
29/04/19,7825.640137,7851.850098,7812.970215,7839.040039,7839.040039,1761110000
30/04/19,7769.299805,7792.319824,7726.069824,7781.459961,7781.459961,2115770000
01/05/19,7828.140137,7851.029785,7749.740234,7751.850098,7751.850098,2247420000
02/05/19,7751.640137,7791.509766,7672.540039,7724.060059,7724.060059,2158600000
03/05/19,7784.290039,7847.52002,7772.439941,7845.72998,7845.72998,2046040000
06/05/19,7662.919922,7804.540039,7662.919922,7794.089844,7794.089844,1966120000
07/05/19,7713.490234,7743.060059,7572.609863,7640.149902,7640.149902,2372660000
08/05/19,7623.319824,7678.819824,7593.75,7617.549805,7617.549805,2175100000
09/05/19,7525.810059,7605.029785,7472.709961,7582.75,7582.75,2520770000
10/05/19,7556.040039,7623.009766,7426.75,7586.529785,7586.529785,2387720000
13/05/19,7385.549805,7433.919922,7303.640137,7324.129883,7324.129883,2478860000
14/05/19,7366.640137,7449.029785,7337.939941,7401.879883,7401.879883,2084850000
15/05/19,7354.819824,7524.220215,7353.899902,7503.25,7503.25,2001530000
16/05/19,7509.910156,7627.029785,7502.759766,7580.140137,7580.140137,2163120000
17/05/19,7513.149902,7605.669922,7496.919922,7503.680176,7503.680176,2134120000
20/05/19,7391.72998,7424.589844,7351.919922,7376.700195,7376.700195,2122410000
21/05/19,7442.310059,7472.709961,7417.069824,7451.02002,7451.02002,1993210000
22/05/19,7413.839844,7458.109863,7410.709961,7420.660156,7420.660156,1881830000
23/05/19,7331.669922,7337.470215,7261.459961,7307.930176,7307.930176,2243420000
24/05/19,7353.970215,7371.299805,7294.100098,7300.959961,7300.959961,1682920000
28/05/19,7321.27002,7362.290039,7274.700195,7278.379883,7278.379883,2352670000
29/05/19,7222.549805,7254.200195,7176.669922,7216.859863,7216.859863,2278790000
30/05/19,7234.830078,7262.77002,7204.419922,7245.399902,7245.399902,1872000000
31/05/19,7148.709961,7183.22998,7125.970215,7127.959961,7127.959961,2236940000
03/06/19,7110.339844,7126.430176,6936.680176,6978.02002,6978.02002,2576920000
04/06/19,7056.180176,7169.790039,7023.089844,7166.75,7166.75,2369150000
05/06/19,7230.810059,7235.22998,7146.430176,7220.899902,7220.899902,2115570000
06/06/19,7229.859863,7293.220215,7201.589844,7275.930176,7275.930176,2070940000
07/06/19,7315.330078,7445.990234,7309.009766,7417.290039,7417.290039,2066020000
10/06/19,7472.600098,7573,7468.169922,7501.930176,7501.930176,2039370000
11/06/19,7584.75,7595.569824,7489.990234,7513.850098,7513.850098,2114680000
12/06/19,7493.549805,7507.52002,7459.200195,7472.290039,7472.290039,1952790000
13/06/19,7500.850098,7530.910156,7487.089844,7510.680176,7510.680176,1838930000
14/06/19,7476.470215,7500.740234,7454.870117,7479.109863,7479.109863,1804340000
17/06/19,7500.279785,7546.990234,7492.169922,7526.52002,7526.52002,1935290000
18/06/19,7606.609863,7689.080078,7595.589844,7635.399902,7635.399902,2244920000
19/06/19,7652.52002,7681.560059,7606.279785,7667.740234,7667.740234,2014080000
20/06/19,7770.169922,7770.609863,7681.430176,7738.049805,7738.049805,2053530000
21/06/19,7719.419922,7772.529785,7708.25,7728.779785,7728.779785,2894340000
24/06/19,7737,7746.680176,7720.779785,7723.02002,7723.02002,2070370000
25/06/19,7720.910156,7723.040039,7584.169922,7591.540039,7591.540039,2127310000
26/06/19,7642.919922,7688.640137,7616.910156,7627.049805,7627.049805,2104750000
27/06/19,7656.680176,7672.97998,7636.720215,7657.049805,7657.049805,2023120000
28/06/19,7674.52002,7682.259766,7639.450195,7671.080078,7671.080078,4078990000
01/07/19,7816.560059,7820.810059,7735.669922,7768.140137,7768.140137,2208900000
02/07/19,7763.029785,7800.470215,7746.009766,7799.819824,7799.819824,1946320000
